,Season,Crop,Temperature,humidity,soil moisture, area,Production
0,Kharif     ,Jowar,36.0,35.0,45.0,310.0,461.0
1,Kharif     ,Lemon,37.0,40.0,46.0,988.0,3824.0
2,Kharif     ,Maize,36.0,41.0,50.0,755.0,2500.0
3,Kharif     ,Mango,37.0,42.0,55.0,15820.0,191027.0
4,Kharif     ,Moong(Green Gram),36.0,40.0,54.0,483.0,324.0
5,Kharif     ,Onion,34.0,45.0,52.0,563.0,10337.0
6,Kharif     ,other oilseeds,34.0,55.0,62.0,8923.0,185768.0
7,Kharif     ,Papaya,35.0,50.0,59.0,305.0,24011.0
8,Kharif     ,Pome Granet,25.0,55.0,55.0,10.0,104.0
9,Kharif     ,Ragi,36.0,35.0,45.0,406.0,387.0
10,Kharif     ,Rice,37.0,40.0,46.0,226072.0,681833.0
11,Kharif     ,Sapota,36.0,41.0,50.0,244.0,2041.0
12,Kharif     ,Sesamum,37.0,42.0,55.0,436.0,119.0
13,Kharif     ,Small millets,36.0,40.0,54.0,469.0,260.0
14,Kharif     ,Soyabean,34.0,45.0,52.0,11.0,25.0
15,Kharif     ,Sugarcane,34.0,55.0,62.0,12405.0,1056420.0
16,Kharif     ,Tobacco,35.0,50.0,59.0,1007.0,4578.0
17,Kharif     ,Tomato,25.0,55.0,55.0,407.0,5851.0
18,Kharif     ,Turmeric,36.0,35.0,45.0,160.0,1151.0
19,Kharif     ,Urad,37.0,40.0,46.0,2605.0,2670.0
20,Rabi       ,Arhar/Tur,36.0,41.0,50.0,56.0,47.0
21,Rabi       ,Brinjal,37.0,42.0,55.0,974.0,5897.0
22,Rabi       ,Cabbage,36.0,40.0,54.0,23.0,284.0
23,Rabi       ,Cowpea(Lobia),34.0,45.0,52.0,161.0,181.0
24,Rabi       ,Dry chillies,34.0,55.0,62.0,2632.0,3201.0
25,Rabi       ,Gram,35.0,50.0,59.0,97.0,187.0
26,Rabi       ,Groundnut,25.0,55.0,55.0,338.0,1099.0
27,Rabi       ,Horse-gram,36.0,35.0,45.0,86.0,36.0
28,Rabi       ,Jowar,37.0,40.0,46.0,1776.0,1160.0
29,Rabi       ,Maize,36.0,41.0,50.0,12156.0,98257.0
30,Rabi       ,Mesta,37.0,42.0,55.0,52.0,355.0
31,Rabi       ,Moong(Green Gram),36.0,40.0,54.0,16204.0,5914.0
32,Rabi       ,Onion,34.0,45.0,52.0,15.0,265.0
33,Rabi       ,Ragi,34.0,55.0,62.0,6.0,9.0
34,Rabi       ,Rice,35.0,50.0,59.0,168045.0,881396.0
35,Rabi       ,Sesamum,25.0,55.0,55.0,3016.0,570.0
36,Rabi       ,Sunflower,36.0,35.0,45.0,379.0,365.0
37,Rabi       ,Sweet potato,37.0,40.0,46.0,33.0,364.0
38,Rabi       ,Tobacco,36.0,41.0,50.0,3010.0,13721.0
39,Rabi       ,Tomato,37.0,42.0,55.0,628.0,8509.0
40,Rabi       ,Urad,36.0,40.0,54.0,18500.0,7641.0
41,Whole Year ,Coconut ,34.0,45.0,52.0,46865.0,780162000.0
42,Whole Year ,Rice,34.0,55.0,62.0,394117.0,1563229.0
43,Kharif     ,Arhar/Tur,35.0,50.0,59.0,28400.0,14900.0
44,Kharif     ,Bajra,25.0,55.0,55.0,100.0,100.0
45,Kharif     ,Castor seed,36.0,35.0,45.0,1600.0,300.0
46,Kharif     ,Cotton(lint),37.0,40.0,46.0,162300.0,432500.0
47,Kharif     ,Dry chillies,36.0,41.0,50.0,27100.0,97300.0
48,Kharif     ,Groundnut,37.0,42.0,55.0,300.0,300.0
49,Kharif     ,Jowar,36.0,40.0,54.0,200.0,100.0
50,Kharif     ,Maize,34.0,45.0,52.0,1700.0,3100.0
51,Kharif     ,Moong(Green Gram),34.0,55.0,62.0,7400.0,2800.0
52,Kharif     ,Rice,35.0,50.0,59.0,295000.0,845300.0
53,Kharif     ,Sesamum,25.0,55.0,55.0,400.0,100.0
54,Kharif     ,Small millets,36.0,35.0,45.0,4000.0,200.0
55,Kharif     ,Sugarcane,37.0,40.0,46.0,1600.0,109600.0
56,Kharif     ,Sunflower,36.0,41.0,50.0,300.0,200.0
57,Kharif     ,Tobacco,37.0,42.0,55.0,11400.0,13200.0
58,Kharif     ,Urad,36.0,40.0,54.0,7100.0,1200.0
59,Rabi       ,Arhar/Tur,34.0,45.0,52.0,1800.0,1000.0
60,Rabi       ,Dry chillies,34.0,55.0,62.0,700.0,1300.0
61,Rabi       ,Gram,35.0,50.0,59.0,3000.0,1500.0
62,Rabi       ,Groundnut,25.0,55.0,55.0,4500.0,6500.0
63,Rabi       ,Jowar,36.0,35.0,45.0,2400.0,3500.0
64,Rabi       ,Maize,37.0,40.0,46.0,5000.0,19000.0
65,Rabi       ,Moong(Green Gram),36.0,41.0,50.0,7700.0,3100.0
66,Rabi       ,Rice,37.0,42.0,55.0,14500.0,51800.0
67,Rabi       ,Sesamum,36.0,40.0,54.0,4700.0,900.0
68,Rabi       ,Urad,34.0,45.0,52.0,153000.0,75400.0
69,Rabi       ,Varagu,34.0,55.0,62.0,400.0,300.0
70,Kharif     ,Arhar/Tur,35.0,50.0,59.0,27100.0,20700.0
71,Kharif     ,Bajra,25.0,55.0,55.0,100.0,100.0
72,Kharif     ,Castor seed,36.0,35.0,45.0,1400.0,200.0
73,Kharif     ,Cotton(lint),37.0,40.0,46.0,193600.0,120700.0
74,Kharif     ,Dry chillies,36.0,41.0,50.0,36500.0,130500.0
75,Kharif     ,Groundnut,37.0,42.0,55.0,300.0,400.0
76,Kharif     ,Jowar,36.0,40.0,54.0,600.0,200.0
77,Kharif     ,Maize,34.0,45.0,52.0,2300.0,4700.0
78,Kharif     ,Moong(Green Gram),34.0,55.0,62.0,11500.0,7200.0
79,Kharif     ,Rice,35.0,50.0,59.0,298400.0,921400.0
80,Kharif     ,Sesamum,25.0,55.0,55.0,1900.0,300.0
81,Kharif     ,Urad,36.0,35.0,45.0,3900.0,3000.0
82,Rabi       ,Arhar/Tur,37.0,40.0,46.0,200.0,200.0
83,Rabi       ,Bajra,36.0,41.0,50.0,200.0,200.0
84,Rabi       ,Dry chillies,37.0,42.0,55.0,400.0,900.0
85,Rabi       ,Gram,36.0,40.0,54.0,1400.0,2700.0
86,Rabi       ,Groundnut,34.0,45.0,52.0,5900.0,9300.0
87,Rabi       ,Jowar,34.0,55.0,62.0,800.0,1000.0
88,Rabi       ,Maize,35.0,50.0,59.0,2800.0,14100.0
89,Rabi       ,Moong(Green Gram),25.0,55.0,55.0,5000.0,2000.0
90,Rabi       ,Rice,36.0,35.0,45.0,29100.0,99900.0
91,Rabi       ,Sesamum,37.0,40.0,46.0,6000.0,2700.0
92,Rabi       ,Urad,36.0,41.0,50.0,127100.0,107400.0
93,Rabi       ,Varagu,37.0,42.0,55.0,100.0,100.0
94,Whole Year ,Sugarcane,36.0,40.0,54.0,2100.0,150300.0
95,Whole Year ,Tobacco,34.0,45.0,52.0,9900.0,13600.0
96,Kharif     ,Bajra,34.0,55.0,62.0,142.0,159.0
97,Kharif     ,Castor seed,35.0,50.0,59.0,1431.0,124.0
98,Kharif     ,Cotton(lint),25.0,55.0,55.0,139425.0,252605.0
99,Kharif     ,Groundnut,36.0,35.0,45.0,545.0,529.0
100,Kharif     ,Jowar,37.0,40.0,46.0,262.0,67.0
101,Kharif     ,Maize,36.0,41.0,50.0,3853.0,10946.0
102,Kharif     ,Masoor,37.0,42.0,55.0,36964.0,21439.0
103,Kharif     ,Moong(Green Gram),36.0,40.0,54.0,12144.0,8622.0
104,Kharif     ,Rice,34.0,45.0,52.0,302886.0,969414.0
105,Kharif     ,Sesamum,34.0,55.0,62.0,12093.0,5672.0
106,Kharif     ,Sunflower,35.0,50.0,59.0,23.0,8.0
107,Kharif     ,Urad,25.0,55.0,55.0,6146.0,3749.0
108,Rabi       ,Gram,36.0,35.0,45.0,868.0,965.0
109,Rabi       ,Groundnut,37.0,40.0,46.0,3450.0,7800.0
110,Rabi       ,Jowar,36.0,41.0,50.0,940.0,374.0
111,Rabi       ,Maize,37.0,42.0,55.0,3755.0,18178.0
112,Rabi       ,Masoor,36.0,40.0,54.0,977.0,567.0
113,Rabi       ,Moong(Green Gram),34.0,45.0,52.0,3684.0,950.0
114,Rabi       ,Ragi,34.0,55.0,62.0,10.0,17.0
115,Rabi       ,Rapeseed &Mustard,35.0,50.0,59.0,850.0,151.0
116,Rabi       ,Rice,25.0,55.0,55.0,14822.0,53167.0
117,Rabi       ,Sesamum,36.0,35.0,45.0,1545.0,355.0
118,Rabi       ,Urad,37.0,40.0,46.0,136538.0,114146.0
119,Whole Year ,Dry chillies,36.0,41.0,50.0,59256.0,111260.0
120,Whole Year ,Onion,37.0,42.0,55.0,1593.0,23110.0
121,Whole Year ,Sugarcane,36.0,40.0,54.0,2229.0,182780.0
122,Whole Year ,Tobacco,34.0,45.0,52.0,8534.0,16308.0
123,Kharif     ,Arhar/Tur,34.0,55.0,62.0,42388.0,16786.0
124,Kharif     ,Bajra,35.0,50.0,59.0,406.0,550.0
125,Kharif     ,Castor seed,25.0,55.0,55.0,3720.0,1038.0
126,Kharif     ,Cotton(lint),36.0,35.0,45.0,125251.0,252712.0
127,Kharif     ,Dry chillies,37.0,40.0,46.0,50294.0,147965.0
128,Kharif     ,Groundnut,36.0,41.0,50.0,255.0,278.0
129,Kharif     ,Jowar,37.0,42.0,55.0,181.0,67.0
130,Kharif     ,Maize,36.0,40.0,54.0,5281.0,13752.0
131,Kharif     ,Moong(Green Gram),34.0,45.0,52.0,20785.0,14612.0
132,Kharif     ,Onion,34.0,55.0,62.0,376.0,5247.0
133,Kharif     ,Rice,35.0,50.0,59.0,292899.0,987363.0
134,Kharif     ,Sesamum,25.0,55.0,55.0,16160.0,3749.0
135,Kharif     ,Urad,36.0,35.0,45.0,9324.0,550.0
136,Rabi       ,Arhar/Tur,37.0,40.0,46.0,1115.0,442.0
137,Rabi       ,Bajra,36.0,41.0,50.0,31.0,42.0
138,Rabi       ,Dry chillies,37.0,42.0,55.0,664.0,1370.0
139,Rabi       ,Gram,36.0,40.0,54.0,1452.0,3453.0
140,Rabi       ,Groundnut,34.0,45.0,52.0,3984.0,8956.0
141,Rabi       ,Horse-gram,34.0,55.0,62.0,6.0,1.0
142,Rabi       ,Jowar,35.0,50.0,59.0,718.0,626.0
143,Rabi       ,Maize,25.0,55.0,55.0,4516.0,24314.0
144,Rabi       ,Moong(Green Gram),36.0,35.0,45.0,6920.0,2318.0
